State,County,CFS12_GEOID,CFS12_Name
31,009,E330000US3199999999,Remainder of Nebraska
31,011,E330000US3199999999,Remainder of Nebraska
31,013,E330000US3199999999,Remainder of Nebraska
31,015,E330000US3199999999,Remainder of Nebraska
31,017,E330000US3199999999,Remainder of Nebraska
31,019,E330000US3199999999,Remainder of Nebraska
31,021,E330000US3199999999,Remainder of Nebraska
31,023,E330000US3199999999,Remainder of Nebraska
31,025,E330000US3142000000,"Omaha-Council Bluffs-Fremont,NE-IA  CFS Area (NE Part)"
31,027,E330000US3199999999,Remainder of Nebraska
31,029,E330000US3199999999,Remainder of Nebraska
31,031,E330000US3199999999,Remainder of Nebraska
31,033,E330000US3199999999,Remainder of Nebraska
31,035,E330000US3199999999,Remainder of Nebraska
31,037,E330000US3199999999,Remainder of Nebraska
31,039,E330000US3199999999,Remainder of Nebraska
31,041,E330000US3199999999,Remainder of Nebraska
31,043,E330000US3199999999,Remainder of Nebraska
31,045,E330000US3199999999,Remainder of Nebraska
31,047,E330000US3199999999,Remainder of Nebraska
31,049,E330000US3199999999,Remainder of Nebraska
31,051,E330000US3199999999,Remainder of Nebraska
31,053,E330000US3142000000,"Omaha-Council Bluffs-Fremont,NE-IA  CFS Area (NE Part)"
31,055,E330000US3142000000,"Omaha-Council Bluffs-Fremont,NE-IA  CFS Area (NE Part)"
31,057,E330000US3199999999,Remainder of Nebraska
31,059,E330000US3199999999,Remainder of Nebraska
31,061,E330000US3199999999,Remainder of Nebraska
31,063,E330000US3199999999,Remainder of Nebraska
31,065,E330000US3199999999,Remainder of Nebraska
31,067,E330000US3199999999,Remainder of Nebraska
31,069,E330000US3199999999,Remainder of Nebraska
31,071,E330000US3199999999,Remainder of Nebraska
31,073,E330000US3199999999,Remainder of Nebraska
31,075,E330000US3199999999,Remainder of Nebraska
31,077,E330000US3199999999,Remainder of Nebraska
31,079,E330000US3199999999,Remainder of Nebraska
31,081,E330000US3199999999,Remainder of Nebraska
31,083,E330000US3199999999,Remainder of Nebraska
31,085,E330000US3199999999,Remainder of Nebraska
31,087,E330000US3199999999,Remainder of Nebraska
31,089,E330000US3199999999,Remainder of Nebraska
31,091,E330000US3199999999,Remainder of Nebraska
31,093,E330000US3199999999,Remainder of Nebraska
31,095,E330000US3199999999,Remainder of Nebraska
31,097,E330000US3199999999,Remainder of Nebraska
31,099,E330000US3199999999,Remainder of Nebraska
31,101,E330000US3199999999,Remainder of Nebraska
31,103,E330000US3199999999,Remainder of Nebraska
31,105,E330000US3199999999,Remainder of Nebraska
31,107,E330000US3199999999,Remainder of Nebraska
31,109,E330000US3199999999,Remainder of Nebraska
31,111,E330000US3199999999,Remainder of Nebraska
31,113,E330000US3199999999,Remainder of Nebraska
31,115,E330000US3199999999,Remainder of Nebraska
31,117,E330000US3199999999,Remainder of Nebraska
31,119,E330000US3199999999,Remainder of Nebraska
31,121,E330000US3199999999,Remainder of Nebraska
31,123,E330000US3199999999,Remainder of Nebraska
31,125,E330000US3199999999,Remainder of Nebraska
31,127,E330000US3199999999,Remainder of Nebraska
31,129,E330000US3199999999,Remainder of Nebraska
31,131,E330000US3199999999,Remainder of Nebraska
31,133,E330000US3199999999,Remainder of Nebraska
31,135,E330000US3199999999,Remainder of Nebraska
31,137,E330000US3199999999,Remainder of Nebraska
31,139,E330000US3199999999,Remainder of Nebraska
31,141,E330000US3199999999,Remainder of Nebraska
31,143,E330000US3199999999,Remainder of Nebraska
31,145,E330000US3199999999,Remainder of Nebraska
31,147,E330000US3199999999,Remainder of Nebraska
31,149,E330000US3199999999,Remainder of Nebraska
31,151,E330000US3199999999,Remainder of Nebraska
31,153,E330000US3142000000,"Omaha-Council Bluffs-Fremont,NE-IA  CFS Area (NE Part)"
31,155,E330000US3142000000,"Omaha-Council Bluffs-Fremont,NE-IA  CFS Area (NE Part)"
31,157,E330000US3199999999,Remainder of Nebraska
31,159,E330000US3199999999,Remainder of Nebraska
